,date,tweet,clean_tweets,len,Sentiment
47,2020-05-26 19:46:31,RT @SibgatullahVirk: U r mistaken Mr. Show-baaz! He stood tall &amp; out 2 lead his nation @ the time when childern &amp; grandchildren of Late Mia…,sibgatullahvirk u r mistaken mr show baaz stood tall amp lead nation time childern amp grandchildren late mia,109,-1
48,2020-05-26 19:46:31,@marknorm Now we'll be worried if the blood on our lap has Corona in it.,marknorm worried blood lap corona,33,0
49,2020-05-26 19:46:31,"RT @AUThackeray: The good news: @mybmcWardGS now has 1002 happily recovered persons who fought and won against corona virus. 
Let’s spread…",authackeray good news mybmcwardgs happily vered persons fought rona virus let spread,84,1
50,2020-05-26 19:46:32,Fast 6 = 6 corona. https://t.co/E5vBWd7nu0,fast rona e vbwd nu,19,1
51,2020-05-26 19:46:32,sigh. When will i be able to smoke weed and then go be uncomfortable in public not cause of corona but cause of how Blazed i am,sigh able smoke weed go un mfo able public cause rona cause blazed,66,1
52,2020-05-26 19:46:32,RT @MAJORshailendra: Valid points.,majorshailendra valid points,28,0
53,2020-05-26 19:46:32,RT @Politidope: 60% of Independents nationally and majorities in every single state in America are unsatisfied with Trump's handling of COV…,politidope independents nationally majorities every single state america unsatisfied trump handling cov,103,-1
54,2020-05-26 19:46:34,RT @ameliacclarke: A long shot atm but my 19yo bro lost his job bc of corona + he might now lose his college apprenticeship to become a plu…,ameliacclarke long shot atm yo bro lost job bc rona might lose llege apprenticeship plu,87,-1
55,2020-05-26 19:46:34,Americans want to help @jim_desmond @KristinDGaspar @POTUS  to act now to stop the slow-walking of CA Reopening w/d… https://t.co/U2Be7Bo0gD,americans want help jim desmond kristindgaspar potus act stop slow walking ca reopening w u bo gd,97,-1
56,2020-05-26 19:46:34,@JaiKanta22 @SpaydMichael @WillGentry33 @TinyTim2231 @ZubyMusic Theres nothing to admit if tou really are a scienti… https://t.co/kErAwUFPKs,jaikanta spaydmichael willgentry tinytim zubymusic theres nothing admit tou really scienti kerawufpks,101,1
57,2020-05-26 19:46:35,"China is just like what  Nazi Germany was. 
But we should not be like what Poland was.",china like nazi germany like poland,35,0
58,2020-05-26 19:46:36,"RT @John__Field: Sturgeon’s main achievement has been PR (aided by a supine media, lickspittle comedians, and not being Johnson) https://t.…",john field sturgeon main achievement pr aided supine media lickspittle medians johnson,86,1
59,2020-05-26 19:46:37,THIS HARD GIVE MY BOY HIS PROPS @CesarCortess_,hard give boy props cesarco ess,31,-1
60,2020-05-26 19:46:38,"RT @hjkhan: Fourth "" COVID-19"" bulletin from @CSIR_NISCAIR with snapshots of research on #Corona, tech innovations to mitigate the #pandemi…",hjkhan fou h covid bulletin csir niscair snapshots research corona tech innovations mitigate pandemi,100,0
61,2020-05-26 19:46:38,RT @smileyface694: I fucking hate this gov. My Nan died alone. No one allowed too see her. 97years and her funeral was fucking empty. Singl…,smileyface fucking hate gov nan died alone one allowed see years funeral fucking empty singl,92,-1
62,2020-05-26 19:46:38,"RT @MFischFriedman: This is amazing and inspiring: @TheISPU is mapping #MuslimImpact during the #COVID19 pandemic, including donating food…",mfischfriedman amazing inspiring theispu mapping muslimimpact covid pandemic including donating food,100,1
63,2020-05-26 19:46:39,RT @ZamundaTwice: “Man that corona? If you even BREATHED in the air you were dead. Six feet under!” - me to my nieces &amp; nephews in 2040 htt…,zamundatwice man rona even breathed air dead six feet nieces amp nephews htt,76,-1
64,2020-05-26 19:46:41,"RT @miyahrhanyse: corona did a lot, but something about walmart not being 24 hours anymore doesn’t sit right with me.",miyahrhanyse rona lot something walma hours anymore sit right,61,1
65,2020-05-26 19:46:41,"RT @CoachJasonCook1: Drill of the Day:
Wrestling ABCs
Keep getting better on the #BrickRode during our Corona Sabbatical 
https://t.co/q5Jx…",coachjasoncook drill day wrestling abcs keep getting better brickrode corona sabbatical q jx,92,1
66,2020-05-26 19:46:41,Just bought some roller skate. Thank you impulsive corona shopping,bought roller skate thank impulsive rona shopping,49,0
67,2020-05-26 19:46:42,"RT @KTHopkins: If you shove yourself in a hedgerow / shopping aisle / dive into the freezer section for me to pass, know that you don’t hav…",kthopkins shove hedgerow shopping aisle dive freezer section pass know hav,74,0
68,2020-05-26 19:46:43,"RT @BJP4India: WHO officials greeted @drharshvardhan with ‘Namaste’ as he took charge as its Executive Board Chairman.

@drharshvardhan beg…",bjp india officials greeted drharshvardhan namaste took charge executive board chairman drharshvardhan beg,106,0
69,2020-05-26 19:46:43,RT @ZamundaTwice: “Man that corona? If you even BREATHED in the air you were dead. Six feet under!” - me to my nieces &amp; nephews in 2040 htt…,zamundatwice man rona even breathed air dead six feet nieces amp nephews htt,76,-1
70,2020-05-26 19:46:44,Yet people still think corona isn’t in Nigeria? May her soul rest in peace. Ameen.,yet people still think rona nigeria may soul rest peace ameen,61,0
71,2020-05-26 19:46:44,"RT @Itsyourkhaleesi: Hospitals like Agha Khan and PIMS are full now and won’t take anymore corona patients but khair hai, apna kya lena den…",itsyourkhaleesi hospitals like agha khan pims full take anymore rona patients khair hai apna kya lena den,105,1
72,2020-05-26 19:46:45,@UncleOdit @NYinLA2121 Stop trying to re write history. Trump was pro travel ban from countries with corona and the… https://t.co/kHvuCKdJuJ,uncleodit nyinla stop trying write history trump pro travel ban untries rona khvuckdjuj,87,0
73,2020-05-26 19:46:45,"RT @mvmeet: Instead of becoming corona warriors,

Shiv Sena goons vandalised shops after owners posted against Uddhav on Social Media!

Eve…",mvmeet instead ming rona warriors shiv sena goons vandalised shops owners posted uddhav social media eve,104,1
74,2020-05-26 19:46:45,"RT @boltibohathai: my husband is doing 8 hour shifts as an MO in a corona ward with no AC, sweating in PPE, going back to an empty house (I…",boltibohathai husband hour shifts mo rona ward ac sweating ppe going back empty house,85,-1
75,2020-05-26 19:46:45,"#PredictiveProgramming

39 years back is the farthest back the #coronahoax was announced, in #DeanKoontz book Eyes… https://t.co/N0b5bb7ygu",predictiveprogramming years back fa hest back ronahoax announced deankoontz book eyes n b bb ygu,96,0
76,2020-05-26 19:46:45,RT @ShaunKeyzSA: Song to be jamming to once the corona is over by @acillionaire . Airtime giveaway if you can guess my favourite drink answ…,shaunkeyzsa song jamming rona acillionaire ai ime giveaway guess favourite drink answ,85,0
77,2020-05-26 19:46:45,@NBCNews Here R the Crime stats-35% of all black males have a criminal record. 85% R drugs users. 80% High Sch. dro… https://t.co/KYRXJQwSAB,nbcnews r crime stats black males criminal rd r drugs users high sch dro kyrxjqwsab,83,-1
78,2020-05-26 19:46:46,"@CyrilRamaphosa Mr President of our Republic of SA. When is parliament opening?
Schools are said to be reopening on… https://t.co/uDCNlM2Zmf",cyrilramaphosa mr president republic sa parliament opening schools said reopening udcnlm zmf,92,0
79,2020-05-26 19:46:47,RT @Bethesda_school: Again - @wandecoal (Cover by Bethesda home for the Blind) This song was made with love and we hope to inspire everyone…,bethesda school wande al cover bethesda home blind song made love hope inspire everyone,87,0
80,2020-05-26 19:46:47,RT @ZamundaTwice: “Man that corona? If you even BREATHED in the air you were dead. Six feet under!” - me to my nieces &amp; nephews in 2040 htt…,zamundatwice man rona even breathed air dead six feet nieces amp nephews htt,76,-1
81,2020-05-26 19:46:47,@WalshFreedom I agree with this for the same reason that all his corona-task-force-rally-press-briefing-arguments n… https://t.co/9noF88w5F5,walshfreedom agree reason rona task force rally press briefing arguments n nof w f,82,0
82,2020-05-26 19:46:48,RT @ZamundaTwice: “Man that corona? If you even BREATHED in the air you were dead. Six feet under!” - me to my nieces &amp; nephews in 2040 htt…,zamundatwice man rona even breathed air dead six feet nieces amp nephews htt,76,-1
83,2020-05-26 19:46:49,"RT @shytigress: Shouldn't This Guy be Charged &amp; Locked up for always standing up for Anti National Forces &amp; Imposing his third rate"" Quawal…",shytigress guy charged amp locked always standing anti national forces amp imposing third rate quawal,101,0
84,2020-05-26 19:46:50,Humans are something else nje!,humans something else nje,25,0
85,2020-05-26 19:46:50,"President Trump is the worst president this country has ever seen. He lies daily, puts down anyone that speaks agai… https://t.co/JRM6Q1MAD0",president trump worst president untry ever seen lies daily puts anyone speaks agai jrm q mad,92,-1
86,2020-05-26 19:46:50,@BJP4India sir what about corona cases and it's devolopment we are in a serious condition there is no time for cele… https://t.co/HgkCjmlqWw,bjp india sir rona cases devolopment serious ndition time cele hgkcjmlqww,73,-1
87,2020-05-26 19:46:50,RT @talhajawed_: before corona,talhajawed rona,15,0
88,2020-05-26 19:46:52,"RT @awoken_squid: me, age 14, in the middle of the SARS epidemic: watching sailor moon on tv for the parts where she's naked during transfo…",awoken squid age middle sars epidemic watching sailor moon tv pa naked transfo,78,0
89,2020-05-26 19:46:53,RT @VPurohit29: We are deliberately being thrown in the mouth of danger. Conducting exams amid pandemic is like pushing us to fell ill. #mp…,vpurohit deliberately thrown mouth danger conducting exams amid pandemic like pushing us fell ill mp,100,-1
90,2020-05-26 19:46:54,"RT @AUThackeray: The good news: @mybmcWardGS now has 1002 happily recovered persons who fought and won against corona virus. 
Let’s spread…",authackeray good news mybmcwardgs happily vered persons fought rona virus let spread,84,1
91,2020-05-26 19:46:54,RT @ZamundaTwice: “Man that corona? If you even BREATHED in the air you were dead. Six feet under!” - me to my nieces &amp; nephews in 2040 htt…,zamundatwice man rona even breathed air dead six feet nieces amp nephews htt,76,-1
92,2020-05-26 19:46:56,RT @ZamundaTwice: “Man that corona? If you even BREATHED in the air you were dead. Six feet under!” - me to my nieces &amp; nephews in 2040 htt…,zamundatwice man rona even breathed air dead six feet nieces amp nephews htt,76,-1
93,2020-05-26 19:46:57,"RT @AUThackeray: The good news: @mybmcWardGS now has 1002 happily recovered persons who fought and won against corona virus. 
Let’s spread…",authackeray good news mybmcwardgs happily vered persons fought rona virus let spread,84,1
94,2020-05-26 19:46:58,Corona brought everything to halt. Except politics. In chutiyo key samne woh bhi har gaya. #Modi4Maharashtra,corona brought everything halt except politics chutiyo key samne woh bhi har gaya modi maharashtra,98,0
95,2020-05-26 19:46:58,"RT @Nick_Clamorgan: If we could, theoretically, stage a debate between the best intellectuals of both political sides, broadcasted, live an…",nick clamorgan uld theoretically stage debate best intellectuals political sides broadcasted live,97,1
96,2020-05-26 19:46:59,RT @dme_363: Remember not to apologise to her until the Chinese admit to making corona. https://t.co/YkqgAXNBQX,dme remember apologise chinese admit making rona ykqgaxnbqx,59,0
97,2020-05-26 19:46:59,RT @jjsorrenti: Proud to represent #bestlifebrands and our businesses @comforcare @CarePatrolCares @BlueMoonEstSale in discussing how franc…,jjsorrenti proud represent bestlifebrands businesses mforcare carepatrolcares bluemoonestsale discussing franc,110,1
98,2020-05-26 19:46:59,"RT @Shujaatsays: Parents, grand parents and all old relatives still thinking that this Corona is all drama and nothing serious. Jinko sbse…",shujaatsays parents grand parents old relatives still thinking corona drama nothing serious jinko sbse,102,1
99,2020-05-26 19:46:59,"RT @MahmoodK69: This is coming from a man who jumped from one woman’s bed into another. 

The art of bed hopping taught to him by his MOTHE…",mahmoodk ming man jumped one woman bed another bed hopping taught mothe,71,0
100,2020-05-26 19:47:00,'I'd love to see their parents' bank accounts': corona and comedy's class divide https://t.co/YUcx9gMwNZ,love see parents bank ac unts rona medy class divide yucx gmwnz,63,1
101,2020-05-26 19:47:01,RT @DiverseAlz: Question 4 Corona is here. How does one cope with a corona related death that is totally unexpected. Should one even start…,diversealz question corona one pe rona related death totally unexpected one even sta,84,1
102,2020-05-26 19:47:01,"RT @jwiechers: Cummings said he warned about i.a. corona virus in 2019.

Thing is, he didn't. References to SARS and corona virus were adde…",jwiechers cummings said warned rona virus thing references sars rona virus adde,79,0
103,2020-05-26 19:47:01,RT @ZamundaTwice: “Man that corona? If you even BREATHED in the air you were dead. Six feet under!” - me to my nieces &amp; nephews in 2040 htt…,zamundatwice man rona even breathed air dead six feet nieces amp nephews htt,76,-1
104,2020-05-26 19:47:01,RT @ZamundaTwice: “Man that corona? If you even BREATHED in the air you were dead. Six feet under!” - me to my nieces &amp; nephews in 2040 htt…,zamundatwice man rona even breathed air dead six feet nieces amp nephews htt,76,-1
105,2020-05-26 19:46:58,My summer still gon be lit regardless. Corona aint stopping me,summer still gon lit regardless corona aint stopping,52,0
106,2020-05-26 19:47:02,And Anointing Corona Oils,anointing corona oils,21,0
107,2020-05-26 19:47:03,RT @ZamundaTwice: “Man that corona? If you even BREATHED in the air you were dead. Six feet under!” - me to my nieces &amp; nephews in 2040 htt…,zamundatwice man rona even breathed air dead six feet nieces amp nephews htt,76,-1
108,2020-05-26 19:47:04,"RT @Iamsegro: I don’t know who needs to hear this but there are no holy sanitizers, soap or water that can kill the corona virus. If I have…",iamsegro know needs hear holy sanitizers soap water kill rona virus,67,0
109,2020-05-26 19:47:05,RT @KharloKong: The fact that so many of y'all watched Walking Dead and thought you'd survive but can't wear a paper mask on your face for…,kharlokong fact many watched walking dead thought survive wear paper mask face,78,1
110,2020-05-26 19:47:06,RT @ZamundaTwice: “Man that corona? If you even BREATHED in the air you were dead. Six feet under!” - me to my nieces &amp; nephews in 2040 htt…,zamundatwice man rona even breathed air dead six feet nieces amp nephews htt,76,-1
111,2020-05-26 19:47:06,Bogus smh.,bogus smh,9,0
112,2020-05-26 19:47:06,RT @thakur_shivangi: 97 deaths reported in last 24hrs in #Maharashtra and 2091 corona positive new cases found. State total stands at 54758.,thakur shivangi deaths repo ed last hrs maharashtra rona positive new cases found state total stands,100,1
113,2020-05-26 19:47:06,"RT @atti_cus: BJP+hate media in overdrive to paint the incorrect picture that Maharashtra Government is doing a bad job. 

Do retweet and a…",atti cus bjp hate media overdrive paint rrect picture maharashtra government bad job retweet,92,-1
114,2020-05-26 19:47:07,@MichStatePolice @GovWhitmer Gov Whitmer thank you so much for your leadership during this corona pandemic. You hav… https://t.co/9Gsn3oHaRV,michstatepolice govwhitmer gov whitmer thank much leadership rona pandemic hav gsn oharv,88,1
115,2020-05-26 19:47:08,"RT @manjeet_sudan: @RBI @DasShaktikanta @RBIsays PMC Bank Depositors Traumatised, Killed, Awake MODI Govt/RBI, made to beg own Monies, Jugg…",manjeet sudan rbi dasshaktikanta rbisays pmc bank depositors traumatised killed awake modi govt rbi made beg monies jugg,120,-1
116,2020-05-26 19:47:08,RT @MitchBenn: Cummings edited his blog a few weeks ago to ADD predictions of the COVID pandemic to posts he originally wrote last year and…,mitchbenn cummings edited blog weeks ago add predictions covid pandemic posts originally wrote last year,104,1
117,2020-05-26 19:47:08,"RT @HLAurora63: Trump is NOT RESPONSIBLE for one death or one lost job due to the corona virus.....

CHINA IS.",hlaurora trump responsible one death one lost job due rona virus china,70,1
118,2020-05-26 19:47:09,RT @rohanrgupta: We were already struggling with unemployment before corona but now the situation has complicated ! We need to find solutio…,rohanrgupta already struggling unemployment rona situation mplicated need find solutio,86,0
119,2020-05-26 20:23:44,"RT @AUThackeray: The good news: @mybmcWardGS now has 1002 happily recovered persons who fought and won against corona virus. 
Let’s spread…",authackeray good news mybmcwardgs happily vered persons fought rona virus let spread,84,1
120,2020-05-26 20:23:44,"RT @ningiza_sive: Update. 

This is just to update everyone that I’m recovering quite well. The symptoms are no longer present. I also comp…",ningiza sive update update everyone vering quite well symptoms longer present also mp,85,0
121,2020-05-26 20:23:45,RT @ZamundaTwice: “Man that corona? If you even BREATHED in the air you were dead. Six feet under!” - me to my nieces &amp; nephews in 2040 htt…,zamundatwice man rona even breathed air dead six feet nieces amp nephews htt,76,-1
122,2020-05-26 20:23:46,RT @ganeshmpandey: @mohitbharatiya_ Worry is not of Corona positive patient rising in Maharashtra specially in Mumbai worry is only social…,ganeshmpandey mohitbharatiya worry corona positive patient rising maharashtra specially mumbai worry social,107,1
123,2020-05-26 20:23:46,RT @zartajgulwazir: Witchcraft? I condemn these shameless remarks full of innuendos. A sign of a diseased mind that stoops so low and can't…,za ajgulwazir witchcraft ndemn shameless remarks full innuendos sign diseased mind stoops low,93,-1
124,2020-05-26 20:23:46,"RT @Sark_Royals: As The Official SarkNation Women's Wing, We Had Our Executives Meeting Yesterday 24/05/2020 To Discuss About Our Plans For…",sark royals official sarknation women wing executives meeting yesterday discuss plans,85,0
125,2020-05-26 20:23:46,"RT @jwiechers: Cummings said he warned about i.a. corona virus in 2019.

Thing is, he didn't. References to SARS and corona virus were adde…",jwiechers cummings said warned rona virus thing references sars rona virus adde,79,0
126,2020-05-26 20:23:47,RT @adnangambary: Can’t wait to say “remember corona”,adnangambary wait say remember rona,35,0
127,2020-05-26 20:23:47,"RT @MayaDeWit: #CoronaVirusPandemic and the effects on interpreters working at the #EU institutions

#1nt #1ntSL @EUInterpreters @aiiconlin…",mayadewit coronaviruspandemic effects interpreters working eu institutions nt ntsl euinterpreters aii nlin,106,0
128,2020-05-26 20:23:48,"RT @CoronaRenderer: Simplicity and elegance are key in Magdalena Marczak's ""Burnished Brown"" project, first in a ""twelve colors"" series: ht…",coronarenderer simplicity elegance key magdalena marczak burnished brown project first twelve lors series ht,108,1
129,2020-05-26 20:23:48,RT @thespinsterymc: PALESTINE IS NOT A JEWISH IDENTITY ISSUE. How many times do we have to say this?,thespinsterymc palestine jewish identity issue many times say,61,1
130,2020-05-26 20:23:48,RT @ZamundaTwice: “Man that corona? If you even BREATHED in the air you were dead. Six feet under!” - me to my nieces &amp; nephews in 2040 htt…,zamundatwice man rona even breathed air dead six feet nieces amp nephews htt,76,-1
131,2020-05-26 20:23:48,"RT @SomtoSocial: First rape case after Corona Virus:

Bayern vs Chelsea #UCL",somtosocial first rape case corona virus bayern vs chelsea ucl,62,1
132,2020-05-26 20:23:49,RT @Gudeka: Humans are something else nje!,gudeka humans something else nje,32,0
133,2020-05-26 20:23:50,RT @TommyHicksGOP: “Americans will not accept arbitrarily and capricious rules to dictate our lives. The separation of powers built into ou…,tommyhicksgop americans accept arbitrarily capricious rules dictate lives separation powers built ou,100,-1
134,2020-05-26 20:23:50,RT @Politidope: 60% of Independents nationally and majorities in every single state in America are unsatisfied with Trump's handling of COV…,politidope independents nationally majorities every single state america unsatisfied trump handling cov,103,-1
135,2020-05-26 20:23:50,#Lindner #Corona   Wonder Woman Muscle Fuck porn usa https://t.co/cXwEJgCvVs,lindner corona wonder woman muscle fuck porn usa cxwejgcvvs,59,-1
136,2020-05-26 20:23:51,"RT @SamCoatesSky: So a contact tracer phones you up, and tells you that someone infected they cannot name might have been near you. 

And y…",samcoatessky ntact tracer phones tells someone infected cannot name might near,78,1
137,2020-05-26 20:23:53,"RT @SATAVRAJEEV: Mr. Darshan Deshmukh(Passport No.Z2518266),native of Maharashtra,working in Kuwait is unfortunately Corona +ve. He is admi…",satavrajeev mr darshan deshmukh passpo z native maharashtra working kuwait unfo unately corona admi,99,0
